id,mode,start_timestamp,end_timestamp,miles,start_date,start_time,end_date,end_time
1,/dbw_joy/ackermann_cmd,2017-04-05 18:53:00,2017-04-05 18:54:00,2.15967e-05,2017-04-05,18:53:00,2017-04-05,18:54:00
2,/dbw_joy/ackermann_cmd,2017-04-05 18:56:00,2017-04-05 18:56:00,0.017721,2017-04-05,18:56:00,2017-04-05,18:56:00
3,/trajectory_follow/ackermann_cmd,2017-04-05 18:54:00,2017-04-05 18:56:00,0.11173599999999999,2017-04-05,18:54:00,2017-04-05,18:56:00
5,None,2017-04-05 16:12:00,2017-04-05 18:53:00,0.0,2017-04-05,16:12:00,2017-04-05,18:53:00
6,/dbw_joy/ackermann_cmd,2017-04-05 19:28:00,2017-04-05 19:43:00,1.04172e-05,2017-04-05,19:28:00,2017-04-05,19:43:00
7,/trajectory_follow/ackermann_cmd,2017-04-05 18:56:00,2017-04-05 19:22:00,0.024705099999999997,2017-04-05,18:56:00,2017-04-05,19:22:00
8,/dbw_joy/ackermann_cmd,2017-04-05 19:22:00,2017-04-05 19:28:00,0.20311300000000002,2017-04-05,19:22:00,2017-04-05,19:28:00
9,/trajectory_follow/ackermann_cmd,2017-04-05 18:56:00,2017-04-05 18:56:00,0.0533941,2017-04-05,18:56:00,2017-04-05,18:56:00
10,/dbw_joy/ackermann_cmd,2017-04-05 18:56:00,2017-04-05 18:56:00,0.00558134,2017-04-05,18:56:00,2017-04-05,18:56:00
11,/trajectory_follow/ackermann_cmd,2017-04-05 19:43:00,2017-04-05 19:45:00,0.00923499,2017-04-05,19:43:00,2017-04-05,19:45:00
12,/dbw_joy/ackermann_cmd,2017-04-05 19:45:00,2017-04-05 19:47:00,0.016569999999999998,2017-04-05,19:45:00,2017-04-05,19:47:00
13,/dbw_joy/ackermann_cmd,2017-04-05 19:47:00,2017-04-05 19:48:00,0.010054899999999999,2017-04-05,19:47:00,2017-04-05,19:48:00
14,/trajectory_follow/ackermann_cmd,2017-04-05 19:48:00,2017-04-05 19:48:00,0.00298644,2017-04-05,19:48:00,2017-04-05,19:48:00
15,/dbw_joy/ackermann_cmd,2017-04-05 19:48:00,2017-04-05 19:49:00,0.000937042,2017-04-05,19:48:00,2017-04-05,19:49:00
